Sr_No,WC_Year,Golden_BootS,Goals
1,1930,Guillermo Stábile ,8
2,1934,Oldich Nejedlý ,5
3,1938,Leônidas ,7
4,1950,Ademir,8
5,1954,Sándor Kocsis ,11
6,1958,Just Fontaine,13
7,1962,Flórián Albert,4
8,1966,Eusébio ,9
9,1970,Gerd Müller ,10
10,1974,Grzegorz Lato,7
11,1978,Mario Kempes,6
12,1982,Paolo Rossi,6
13,1986,Gary Lineker,6
14,1990,Salvatore Schillaci,6
15,1994,Oleg Salenko Hristo Stoichkov,6
16,1998,Davor Šuker ,6
17,2002,Ronaldo,8
18,2006,Miroslav Klose,5
19,2010,Thomas Müller ,5
20,2014,James Rodríguez ,6
21,2018,Harry Kane,6
22,2022,Kylian Mbappé,8
